ID ref,Match order,Part of speech,Stem type,Person,Gender,Lemma,Morph flags,Dialect
pronpdgm1,1,pronoun,pron1,1st,,ἐγώ,,
pronpdgm1,1,pronoun,pron1,2nd,,σύ,,
